experiment_id,sample_size,use_custom_ocr,prompt_type,chunk_size_category,no_schema,example_num,transformation_method,chunking_method,template_type
0,100,False,no_schema,max,True,,layout-aware,fixed,STL
1,100,False,no_schema,max,True,,naive,fixed,STL
2,100,False,no_schema,max,True,,layout-aware,fixed,MTL
3,100,False,no_schema,max,True,,naive,fixed,MTL
4,100,False,no_schema,max,True,,layout-aware,fixed,UTL
5,100,False,no_schema,max,True,,naive,fixed,UTL
6,100,False,no_schema,medium,True,,layout-aware,fixed,STL
7,100,False,no_schema,medium,True,,naive,fixed,STL
8,100,False,no_schema,medium,True,,layout-aware,fixed,MTL
9,100,False,no_schema,medium,True,,naive,fixed,MTL
10,100,False,no_schema,medium,True,,layout-aware,fixed,UTL
11,100,False,no_schema,medium,True,,naive,fixed,UTL
12,100,False,no_schema,small,True,,layout-aware,fixed,STL
13,100,False,no_schema,small,True,,naive,fixed,STL
14,100,False,no_schema,small,True,,layout-aware,fixed,MTL
15,100,False,no_schema,small,True,,naive,fixed,MTL
16,100,False,no_schema,small,True,,layout-aware,fixed,UTL
17,100,False,no_schema,small,True,,naive,fixed,UTL
18,100,False,few_shot,max,False,0.0,layout-aware,fixed,STL
19,100,False,few_shot,max,False,0.0,naive,fixed,STL
20,100,False,few_shot,max,False,1.0,layout-aware,fixed,STL
21,100,False,few_shot,max,False,1.0,naive,fixed,STL
22,100,False,few_shot,max,False,3.0,layout-aware,fixed,STL
23,100,False,few_shot,max,False,3.0,naive,fixed,STL
24,100,False,few_shot,max,False,5.0,layout-aware,fixed,STL
25,100,False,few_shot,max,False,5.0,naive,fixed,STL
26,100,False,few_shot,max,False,0.0,layout-aware,fixed,MTL
27,100,False,few_shot,max,False,0.0,naive,fixed,MTL
28,100,False,few_shot,max,False,1.0,layout-aware,fixed,MTL
29,100,False,few_shot,max,False,1.0,naive,fixed,MTL
30,100,False,few_shot,max,False,3.0,layout-aware,fixed,MTL
31,100,False,few_shot,max,False,3.0,naive,fixed,MTL
32,100,False,few_shot,max,False,5.0,layout-aware,fixed,MTL
33,100,False,few_shot,max,False,5.0,naive,fixed,MTL
34,100,False,few_shot,max,False,0.0,layout-aware,fixed,UTL
35,100,False,few_shot,max,False,0.0,naive,fixed,UTL
36,100,False,few_shot,max,False,1.0,layout-aware,fixed,UTL
37,100,False,few_shot,max,False,1.0,naive,fixed,UTL
38,100,False,few_shot,max,False,3.0,layout-aware,fixed,UTL
39,100,False,few_shot,max,False,3.0,naive,fixed,UTL
40,100,False,few_shot,max,False,5.0,layout-aware,fixed,UTL
41,100,False,few_shot,max,False,5.0,naive,fixed,UTL
42,100,False,few_shot,medium,False,0.0,layout-aware,fixed,STL
43,100,False,few_shot,medium,False,0.0,naive,fixed,STL
44,100,False,few_shot,medium,False,1.0,layout-aware,fixed,STL
45,100,False,few_shot,medium,False,1.0,naive,fixed,STL
46,100,False,few_shot,medium,False,3.0,layout-aware,fixed,STL
47,100,False,few_shot,medium,False,3.0,naive,fixed,STL
48,100,False,few_shot,medium,False,5.0,layout-aware,fixed,STL
49,100,False,few_shot,medium,False,5.0,naive,fixed,STL
50,100,False,few_shot,medium,False,0.0,layout-aware,fixed,MTL
51,100,False,few_shot,medium,False,0.0,naive,fixed,MTL
52,100,False,few_shot,medium,False,1.0,layout-aware,fixed,MTL
53,100,False,few_shot,medium,False,1.0,naive,fixed,MTL
54,100,False,few_shot,medium,False,3.0,layout-aware,fixed,MTL
55,100,False,few_shot,medium,False,3.0,naive,fixed,MTL
56,100,False,few_shot,medium,False,5.0,layout-aware,fixed,MTL
57,100,False,few_shot,medium,False,5.0,naive,fixed,MTL
58,100,False,few_shot,medium,False,0.0,layout-aware,fixed,UTL
59,100,False,few_shot,medium,False,0.0,naive,fixed,UTL
60,100,False,few_shot,medium,False,1.0,layout-aware,fixed,UTL
61,100,False,few_shot,medium,False,1.0,naive,fixed,UTL
62,100,False,few_shot,medium,False,3.0,layout-aware,fixed,UTL
63,100,False,few_shot,medium,False,3.0,naive,fixed,UTL
64,100,False,few_shot,medium,False,5.0,layout-aware,fixed,UTL
65,100,False,few_shot,medium,False,5.0,naive,fixed,UTL
66,100,False,few_shot,small,False,0.0,layout-aware,fixed,STL
67,100,False,few_shot,small,False,0.0,naive,fixed,STL
68,100,False,few_shot,small,False,1.0,layout-aware,fixed,STL
69,100,False,few_shot,small,False,1.0,naive,fixed,STL
70,100,False,few_shot,small,False,3.0,layout-aware,fixed,STL
71,100,False,few_shot,small,False,3.0,naive,fixed,STL
72,100,False,few_shot,small,False,5.0,layout-aware,fixed,STL
73,100,False,few_shot,small,False,5.0,naive,fixed,STL
74,100,False,few_shot,small,False,0.0,layout-aware,fixed,MTL
75,100,False,few_shot,small,False,0.0,naive,fixed,MTL
76,100,False,few_shot,small,False,1.0,layout-aware,fixed,MTL
77,100,False,few_shot,small,False,1.0,naive,fixed,MTL
78,100,False,few_shot,small,False,3.0,layout-aware,fixed,MTL
79,100,False,few_shot,small,False,3.0,naive,fixed,MTL
80,100,False,few_shot,small,False,5.0,layout-aware,fixed,MTL
81,100,False,few_shot,small,False,5.0,naive,fixed,MTL
82,100,False,few_shot,small,False,0.0,layout-aware,fixed,UTL
83,100,False,few_shot,small,False,0.0,naive,fixed,UTL
84,100,False,few_shot,small,False,1.0,layout-aware,fixed,UTL
85,100,False,few_shot,small,False,1.0,naive,fixed,UTL
86,100,False,few_shot,small,False,3.0,layout-aware,fixed,UTL
87,100,False,few_shot,small,False,3.0,naive,fixed,UTL
88,100,False,few_shot,small,False,5.0,layout-aware,fixed,UTL
89,100,False,few_shot,small,False,5.0,naive,fixed,UTL
90,100,False,chain_of_thought,max,False,0.0,layout-aware,fixed,STL
91,100,False,chain_of_thought,max,False,0.0,naive,fixed,STL
92,100,False,chain_of_thought,max,False,1.0,layout-aware,fixed,STL
93,100,False,chain_of_thought,max,False,1.0,naive,fixed,STL
94,100,False,chain_of_thought,max,False,3.0,layout-aware,fixed,STL
95,100,False,chain_of_thought,max,False,3.0,naive,fixed,STL
96,100,False,chain_of_thought,max,False,5.0,layout-aware,fixed,STL
97,100,False,chain_of_thought,max,False,5.0,naive,fixed,STL
98,100,False,chain_of_thought,max,False,0.0,layout-aware,fixed,MTL
99,100,False,chain_of_thought,max,False,0.0,naive,fixed,MTL
100,100,False,chain_of_thought,max,False,1.0,layout-aware,fixed,MTL
101,100,False,chain_of_thought,max,False,1.0,naive,fixed,MTL
102,100,False,chain_of_thought,max,False,3.0,layout-aware,fixed,MTL
103,100,False,chain_of_thought,max,False,3.0,naive,fixed,MTL
104,100,False,chain_of_thought,max,False,5.0,layout-aware,fixed,MTL
105,100,False,chain_of_thought,max,False,5.0,naive,fixed,MTL
106,100,False,chain_of_thought,max,False,0.0,layout-aware,fixed,UTL
107,100,False,chain_of_thought,max,False,0.0,naive,fixed,UTL
108,100,False,chain_of_thought,max,False,1.0,layout-aware,fixed,UTL
109,100,False,chain_of_thought,max,False,1.0,naive,fixed,UTL
110,100,False,chain_of_thought,max,False,3.0,layout-aware,fixed,UTL
111,100,False,chain_of_thought,max,False,3.0,naive,fixed,UTL
112,100,False,chain_of_thought,max,False,5.0,layout-aware,fixed,UTL
113,100,False,chain_of_thought,max,False,5.0,naive,fixed,UTL
114,100,False,chain_of_thought,medium,False,0.0,layout-aware,fixed,STL
115,100,False,chain_of_thought,medium,False,0.0,naive,fixed,STL
116,100,False,chain_of_thought,medium,False,1.0,layout-aware,fixed,STL
117,100,False,chain_of_thought,medium,False,1.0,naive,fixed,STL
118,100,False,chain_of_thought,medium,False,3.0,layout-aware,fixed,STL
119,100,False,chain_of_thought,medium,False,3.0,naive,fixed,STL
120,100,False,chain_of_thought,medium,False,5.0,layout-aware,fixed,STL
121,100,False,chain_of_thought,medium,False,5.0,naive,fixed,STL
122,100,False,chain_of_thought,medium,False,0.0,layout-aware,fixed,MTL
123,100,False,chain_of_thought,medium,False,0.0,naive,fixed,MTL
124,100,False,chain_of_thought,medium,False,1.0,layout-aware,fixed,MTL
125,100,False,chain_of_thought,medium,False,1.0,naive,fixed,MTL
126,100,False,chain_of_thought,medium,False,3.0,layout-aware,fixed,MTL
127,100,False,chain_of_thought,medium,False,3.0,naive,fixed,MTL
128,100,False,chain_of_thought,medium,False,5.0,layout-aware,fixed,MTL
