experiment_id,model_name,processing_time,sample_num,ocr_type,chunking_method,chunk_size,overlap,prompt_type,example_num,prompt_token_size,level_type,transformation_method,file_name,ground_truth,predictions,mapped_pred,cleaned_pred,cleaned_gt,precision_initial_exact,precision_mapped_exact,precision_cleaned_exact,recall_initial_exact,recall_mapped_exact,recall_cleaned_exact,f1_initial_exact,f1_mapped_exact,f1_cleaned_exact,match_results_initial_exact,match_results_mapped_exact,match_results_cleaned_exact,precision_initial_substring,precision_mapped_substring,precision_cleaned_substring,recall_initial_substring,recall_mapped_substring,recall_cleaned_substring,f1_initial_substring,f1_mapped_substring,f1_cleaned_substring,match_results_initial_substring,match_results_mapped_substring,match_results_cleaned_substring,precision_initial_fuzzy,precision_mapped_fuzzy,precision_cleaned_fuzzy,recall_initial_fuzzy,recall_mapped_fuzzy,recall_cleaned_fuzzy,f1_initial_fuzzy,f1_mapped_fuzzy,f1_cleaned_fuzzy,match_results_initial_fuzzy,match_results_mapped_fuzzy,match_results_cleaned_fuzzy
4,llama3-70b-8192,16.66,40,vrdu,fixed,1383,,no_schema,,709,STL,layout-aware,"20081001_Garvey, Schubert _ Barer_Amendment_Amendment.pdf","{'registrant_name': ['Garvey Schubert Barer'], 'registration_num': ['3047'], 'file_date': ['September 30, 2008'], 'signer_name': ['Harold G. Bailey, Jr.']}","{""file_date"": ""September 30, 2008"", ""foreign_principle_name"": ""Japan Fisheries Association"", ""registrant_name"": ""Garvey Schubert Barer"", ""registration_num"": ""3047"", ""signer_name"": ""Harold G. Bailey, Jr."", ""signer_title"": """"}","{'file_date': 'September 30, 2008', 'foreign_principle_name': 'Japan Fisheries Association', 'registrant_name': 'Garvey Schubert Barer', 'registration_num': '3047', 'signer_name': 'Harold G. Bailey, Jr.', 'signer_title': ''}","{'file_date': '2008-09-30', 'foreign_principle_name': 'Japan Fisheries Association', 'registrant_name': 'Garvey Schubert Barer', 'registration_num': '3047', 'signer_name': 'Harold G. Bailey, Jr.', 'signer_title': ''}","{'file_date': ['2008-09-30'], 'foreign_principle_name': '', 'registrant_name': ['Garvey Schubert Barer'], 'registration_num': ['3047'], 'signer_name': ['Harold G. Bailey, Jr.'], 'signer_title': ''}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
4,llama3-70b-8192,13.2,40,vrdu,fixed,1383,,no_schema,,721,STL,layout-aware,19961018_DLA Piper US LLP_Amendment_Amendment.pdf,"{'registration_num': ['3712'], 'registrant_name': ['Verner, Liipfert, Bernhard, McPherson\nand Hand, Chartered'], 'signer_name': ['Daniel Manatt'], 'file_date': ['1\nday of October\n1996']}","{""file_date"": ""October 1, 1996"", ""foreign_principle_name"": ""Government of Oman"", ""registrant_name"": ""Verner, Liipfert, Bernhard, McPherson and Hand, Chartered"", ""registration_num"": ""3712"", ""signer_name"": ""Todd"", ""signer_title"": ""Daniel Manatt""}","{'file_date': 'October 1, 1996', 'foreign_principle_name': 'Government of Oman', 'registrant_name': 'Verner, Liipfert, Bernhard, McPherson and Hand, Chartered', 'registration_num': '3712', 'signer_name': 'Todd', 'signer_title': 'Daniel Manatt'}","{'file_date': '1996-10-01', 'foreign_principle_name': 'Government Of Oman', 'registrant_name': 'Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered', 'registration_num': '3712', 'signer_name': 'Todd', 'signer_title': 'daniel manatt'}","{'file_date': ['1996-10-01'], 'foreign_principle_name': '', 'registrant_name': ['Verner, Liipfert, Bernhard, Mcpherson And Hand, Chartered'], 'registration_num': ['3712'], 'signer_name': ['Daniel Manatt'], 'signer_title': ''}",0.25,0.25,0.75,1.0,1.0,1.0,0.4,0.4,0.8571428571428571,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.25,0.25,0.75,1.0,1.0,1.0,0.4,0.4,0.8571428571428571,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}"
4,llama3-70b-8192,16.13,40,vrdu,fixed,1383,,no_schema,,783,STL,layout-aware,"20120424_Pillsbury Winthrop Shaw Pittman, LLP_Amendment_Amendment.pdf","{'registrant_name': ['Pillsbury Winthrop Shaw Pittman LLP'], 'registration_num': ['5198'], 'file_date': ['April 24, 2012'], 'signer_name': ['Stephan E. Becker']}","{""file_date"": ""04/24/2012"", ""foreign_principle_name"": ""Secretaria de Economia (Secretariat of Economy)"", ""registrant_name"": ""Pillsbury Winthrop Shaw Pittman LLP"", ""registration_num"": ""5198"", ""signer_name"": ""Stephan E. Becker"", ""signer_title"": """"}","{'file_date': '04/24/2012', 'foreign_principle_name': 'Secretaria de Economia (Secretariat of Economy)', 'registrant_name': 'Pillsbury Winthrop Shaw Pittman LLP', 'registration_num': '5198', 'signer_name': 'Stephan E. Becker', 'signer_title': ''}","{'file_date': '2012-04-24', 'foreign_principle_name': 'Secretaria De Economia (secretariat Of Economy)', 'registrant_name': 'Pillsbury Winthrop Shaw Pittman Llp', 'registration_num': '5198', 'signer_name': 'Stephan E. Becker', 'signer_title': ''}","{'file_date': ['2012-04-24'], 'foreign_principle_name': '', 'registrant_name': ['Pillsbury Winthrop Shaw Pittman Llp'], 'registration_num': ['5198'], 'signer_name': ['Stephan E. Becker'], 'signer_title': ''}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
4,llama3-70b-8192,17.06,40,vrdu,fixed,1383,,no_schema,,982,STL,layout-aware,"20171116_Wiley Rein, LLP_Amendment_Amendment.pdf","{'registrant_name': ['Wiley Rein LLP'], 'registration_num': ['6108'], 'file_date': ['How\n17.2017'], 'signer_name': ['JIM SLATTERS']}","{""file_date"": ""11/16/2017"", ""foreign_principle_name"": """", ""registrant_name"": ""Wiley Rein LLP"", ""registration_num"": ""6108"", ""signer_name"": ""Jim Slattery"", ""signer_title"": """"}","{'file_date': '11/16/2017', 'foreign_principle_name': '', 'registrant_name': 'Wiley Rein LLP', 'registration_num': '6108', 'signer_name': 'Jim Slattery', 'signer_title': ''}","{'file_date': '2017-11-16', 'foreign_principle_name': '', 'registrant_name': 'Wiley Rein Llp', 'registration_num': '6108', 'signer_name': 'Jim Slattery', 'signer_title': ''}","{'file_date': ['how 17.2017'], 'foreign_principle_name': '', 'registrant_name': ['Wiley Rein Llp'], 'registration_num': ['6108'], 'signer_name': ['Jim Slatters'], 'signer_title': ''}",0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 0}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
4,llama3-70b-8192,13.68,40,vrdu,fixed,1383,,no_schema,,772,STL,layout-aware,"20150105_Squire Patton Boggs, LLP_Amendment_Amendment.pdf","{'registrant_name': ['Squire Patton Boggs (US) LLP'], 'registration_num': ['2165'], 'signer_name': ['Edward J. Newberry'], 'file_date': ['January 05, 2015']}","{""file_date"": ""01/05/2015"", ""foreign_principle_name"": ""('The Government of Georgia', 'The Government of Kosovo')"", ""registrant_name"": ""Squire Patton Boggs (US) LLP"", ""registration_num"": ""2165"", ""signer_name"": ""Edward J. Newberry"", ""signer_title"": """"}","{'file_date': '01/05/2015', 'foreign_principle_name': ""('The Government of Georgia', 'The Government of Kosovo')"", 'registrant_name': 'Squire Patton Boggs (US) LLP', 'registration_num': '2165', 'signer_name': 'Edward J. Newberry', 'signer_title': ''}","{'file_date': '2015-01-05', 'foreign_principle_name': ""('the Government Of Georgia', 'the Government Of Kosovo')"", 'registrant_name': 'Squire Patton Boggs (us) Llp', 'registration_num': '2165', 'signer_name': 'Edward J. Newberry', 'signer_title': ''}","{'file_date': ['2015-01-05'], 'foreign_principle_name': '', 'registrant_name': ['Squire Patton Boggs (us) Llp'], 'registration_num': ['2165'], 'signer_name': ['Edward J. Newberry'], 'signer_title': ''}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
4,llama3-70b-8192,12.88,40,vrdu,fixed,1383,,no_schema,,713,STL,layout-aware,"20090930_Garvey, Schubert _ Barer_Amendment_Amendment.pdf","{'registration_num': ['3047'], 'registrant_name': ['Garvey Schubert Barer'], 'file_date': ['September 30, 2009'], 'signer_name': ['Harold G. Bailey, Jr.']}","{""file_date"": ""September 30, 2009"", ""foreign_principle_name"": ""Japan Fisheries Association"", ""registrant_name"": ""Garvey Schubert Barer"", ""registration_num"": ""3047"", ""signer_name"": ""Harold G. Bailey, Jr."", ""signer_title"": """"}","{'file_date': 'September 30, 2009', 'foreign_principle_name': 'Japan Fisheries Association', 'registrant_name': 'Garvey Schubert Barer', 'registration_num': '3047', 'signer_name': 'Harold G. Bailey, Jr.', 'signer_title': ''}","{'file_date': '2009-09-30', 'foreign_principle_name': 'Japan Fisheries Association', 'registrant_name': 'Garvey Schubert Barer', 'registration_num': '3047', 'signer_name': 'Harold G. Bailey, Jr.', 'signer_title': ''}","{'file_date': ['2009-09-30'], 'foreign_principle_name': '', 'registrant_name': ['Garvey Schubert Barer'], 'registration_num': ['3047'], 'signer_name': ['Harold G. Bailey, Jr.'], 'signer_title': ''}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
4,llama3-70b-8192,16.5,40,vrdu,fixed,1383,,no_schema,,349,STL,layout-aware,19710401_Netherlands Board of Tourism and Conventions (NBTC)_Amendment_Amendment.pdf,"{'registrant_name': ['Mr. John G. Bertram\nDirector for North America'], 'registration_num': ['619'], 'file_date': ['day of\n19 //\nWEETHAM ETROGLIE']}","{""file_date"": ""Oct. 31, 1971"", ""foreign_principle_name"": ""The Netherlands National Tourist Office"", ""registrant_name"": ""The Netherlands National Tourist Office"", ""registration_num"": ""43-R226.5"", ""signer_name"": ""Mr. John G. Bertram"", ""signer_title"": ""Director for North America""}","{'file_date': 'Oct. 31, 1971', 'foreign_principle_name': 'The Netherlands National Tourist Office', 'registrant_name': 'The Netherlands National Tourist Office', 'registration_num': '43-R226.5', 'signer_name': 'Mr. John G. Bertram', 'signer_title': 'Director for North America'}","{'file_date': '1971-10-31', 'foreign_principle_name': 'The Netherlands National Tourist Office', 'registrant_name': 'The Netherlands National Tourist Office', 'registration_num': '432265', 'signer_name': 'Mr. John G. Bertram', 'signer_title': 'director for north america'}","{'file_date': ['day of 19 // weetham etroglie'], 'foreign_principle_name': '', 'registrant_name': ['Mr. John G. Bertram Director For North America'], 'registration_num': ['619'], 'signer_name': '', 'signer_title': ''}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}","{'file_date': 0, 'registrant_name': 0, 'registration_num': 0}"
4,llama3-70b-8192,16.15,40,vrdu,fixed,1383,,no_schema,,746,STL,layout-aware,"20170815_Pillsbury Winthrop Shaw Pittman, LLP_Amendment_Amendment.pdf","{'registrant_name': ['Pillsbury Winthrop Shaw Pittman LLP'], 'registration_num': ['5198'], 'file_date': ['August 15, 2017'], 'signer_name': ['Stephan E. Becker']}","{""file_date"": ""08/15/2017"", ""foreign_principle_name"": ""Government of Georgia"", ""registrant_name"": ""Pillsbury Winthrop Shaw Pittman LLP"", ""registration_num"": ""5198"", ""signer_name"": ""Stephan E. Becker"", ""signer_title"": """"}","{'file_date': '08/15/2017', 'foreign_principle_name': 'Government of Georgia', 'registrant_name': 'Pillsbury Winthrop Shaw Pittman LLP', 'registration_num': '5198', 'signer_name': 'Stephan E. Becker', 'signer_title': ''}","{'file_date': '2017-08-15', 'foreign_principle_name': 'Government Of Georgia', 'registrant_name': 'Pillsbury Winthrop Shaw Pittman Llp', 'registration_num': '5198', 'signer_name': 'Stephan E. Becker', 'signer_title': ''}","{'file_date': ['2017-08-15'], 'foreign_principle_name': '', 'registrant_name': ['Pillsbury Winthrop Shaw Pittman Llp'], 'registration_num': ['5198'], 'signer_name': ['Stephan E. Becker'], 'signer_title': ''}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
4,llama3-70b-8192,16.7,40,vrdu,fixed,1383,,no_schema,,591,STL,layout-aware,"19920201_Sidley Austin, LLP_Amendment_Amendment.pdf","{'registration_num': ['3731'], 'registrant_name': ['Sidley & Austin'], 'file_date': ['26\nday of\nFeber\nbruary .192']}","{""file_date"": ""1995-11-30"", ""foreign_principle_name"": ""('Moscow Narodny Bank', 'the Government of the Cayman Islands')"", ""registrant_name"": ""Sidley & Austin"", ""registration_num"": ""3731"", ""signer_name"": """", ""signer_title"": """"}","{'file_date': '1995-11-30', 'foreign_principle_name': ""('Moscow Narodny Bank', 'the Government of the Cayman Islands')"", 'registrant_name': 'Sidley & Austin', 'registration_num': '3731', 'signer_name': '', 'signer_title': ''}","{'file_date': '1995-11-30', 'foreign_principle_name': ""('moscow Narodny Bank', 'the Government Of The Cayman Islands')"", 'registrant_name': 'Sidley & Austin', 'registration_num': '3731', 'signer_name': '', 'signer_title': ''}","{'file_date': ['26 day of feber bruary .192'], 'foreign_principle_name': '', 'registrant_name': ['Sidley & Austin'], 'registration_num': ['3731'], 'signer_name': '', 'signer_title': ''}",0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.8,0.8,0.8,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.8,0.8,0.8,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1}"
4,llama3-70b-8192,13.27,40,vrdu,fixed,1383,,no_schema,,701,STL,layout-aware,"20150530_Parvin, C. Landon_Amendment_Amendment.pdf","{'registration_num': ['6194'], 'registrant_name': ['C. Landon Parvin'], 'file_date': ['5/30/2015'], 'signer_name': ['C. Landon Parvin']}","{""file_date"": ""05/30/2015"", ""foreign_principle_name"": ""Embassy of Japan"", ""registrant_name"": ""C. Landon Parvin"", ""registration_num"": ""6194"", ""signer_name"": ""C. Landon Parvin"", ""signer_title"": """"}","{'file_date': '05/30/2015', 'foreign_principle_name': 'Embassy of Japan', 'registrant_name': 'C. Landon Parvin', 'registration_num': '6194', 'signer_name': 'C. Landon Parvin', 'signer_title': ''}","{'file_date': '2015-05-30', 'foreign_principle_name': 'Embassy Of Japan', 'registrant_name': 'C. Landon Parvin', 'registration_num': '6194', 'signer_name': 'C. Landon Parvin', 'signer_title': ''}","{'file_date': ['2015-05-30'], 'foreign_principle_name': '', 'registrant_name': ['C. Landon Parvin'], 'registration_num': ['6194'], 'signer_name': ['C. Landon Parvin'], 'signer_title': ''}",0.75,0.75,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}",0.6729559748427673,0.6729559748427673,0.7987421383647799,1.0,1.0,1.0,0.8045112781954886,0.8045112781954886,0.8881118881118881,"{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 0, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}","{'file_date': 1, 'registrant_name': 1, 'registration_num': 1, 'signer_name': 1}"
